English,Arabic,Definition
Culture,ثقافة,"A pattern of behaviors, beliefs, assumptions, attitudes and ways of doing things"
Customer relationship management (CRM),إدارة علاقات العملاء,"A way to identify, acquire and retain customers. CRM is also an industry term for software solutions that help an enterprise manage customer relationships in an organized manner."
Cybercop,محقق الجرائم الالكترونية,An investigator of activities related to computer crime
Cyberespionage,التجسس السيبراني,"Activities conducted in the name of security, business, politics or technology to find information that ought to remain secret. It is not inherently military."
Cybersecurity,الأمن السيبراني,"The protection of information assets by addressing threats to information processed, stored, and transported by internetworked information systems"
Cybersecurity architecture,معمارية الأمن السيبراني,"Describes the structure, components and topology (connections and layout) of security controls within an enterprise's IT infrastructure"
Cyberwarfare,الحرب السيبرانية,Activities supported by military organizations with the purpose to threat the survival and well-being of society/foreign entity
Damage evaluation,تقييم الاضرار,The determination of the extent of damage that is necessary to provide for an estimation of the recovery time frame and the potential loss to the enterprise
Dashboard,شاشة التحكم,A tool for setting expectations for an enterprise at each level of responsibility and continuous monitoring of the performance against set targets
Data analysis,تحليل البيانات,"Typically in large enterprises in which the amount of data processed by the enterprise resource planning (ERP) system is extremely voluminous, analysis of patterns and trends proves to be extremely useful in ascertaining the efficiency and effectiveness of operations"
Data classification,تصنيف البيانات,"The assignment of a level of sensitivity to data (or information) that results in the specification of controls for each level of classification. Levels of sensitivity of data are assigned according to predefined categories as data are created, amended, enhanced, stored or transmitted. The classification level is an indication of the value or importance of the data to the enterprise."
Data classification scheme,سياسات تصنيف (البيانات امنية),"An enterprise scheme for classifying data by factors such as criticality, sensitivity and ownership"
Data communications,تراسل البيانات,"The transfer of data between separate computer processing sites/devices using telephone lines, microwave and/or satellite links"
Data custodian,الموكلون بالبيانات,The individual(s) and department(s) responsible for the storage and safeguarding of computerized data
Data dictionary,قاموس البيانات,"A database that contains the name, type, range of values, source and authorization for access for each data element in a database. It also indicates which application programs use those data so that when a data structure is contemplated, a list of the affected programs can be generated"
Data diddling,العبث بالبيانات,Changing data with malicious intent before or during input into the system
Data Encryption Standard (DES),نظام تشفير البيانات القياسي,An algorithm for encoding binary data
Data flow,سير تدفق البيانات,"The flow of data from the input (in Internet banking, ordinarily user input at his/her desktop) to output (in Internet banking, ordinarily data in a bank's central database). Data flow includes travel through the communication lines, routers, switches and firewalls as well as processing through various applications on servers, which process the data from user fingers to storage in a bank's central database."
Data integrity,صحة / سلامة البيانات,The property that data meet with a priority expectation of quality and that the data can be relied on
Data leakage,تسرب البيانات,Siphoning out or leaking information by dumping computer files or stealing computer reports and tapes
Data normalization,تنظيم البيانات,A structured process for organizing data into tables in such a way that it preserves the relationships among the data
Data owner,مالكو البيانات,"The individual(s), normally a manager or director, who has responsibility for the integrity, accurate reporting and use of computerized data"
Data retention,استبقاء البيانات,"Refers to the policies that govern data and records management for meeting internal, legal and regulatory data archival requirements"
Data security,امن البيانات,"Those controls that seek to maintain confidentiality, integrity and availability of information"
Data structure,هيكلية البيانات,The relationships among files in a database and among data items within each file
Data warehouse,مخزن البيانات,"A generic term for a system that stores, retrieves and manages large volumes of data"
Database,قاعدة البيانات,A stored collection of related data needed by enterprises and individuals to meet their information processing and retrieval requirements
Database administrator (DBA),مدير قواعد البيانات,"An individual or department responsible for the security and information classification of the shared data stored on a database system. This responsibility includes the design, definition and maintenance of the database."
Database management system (DBMS),نظام إدارة قاعدة البيانات,"A software system that controls the organization, storage and retrieval of data in a database"
Database replication,نسخة مطابقة لقاعدة البيانات,The process of creating and managing duplicate versions of a database
Database specifications,مواصفات قاعدة البيانات,"These are the requirements for establishing a database application. They include field definitions, field requirements and reporting requirements for the individual information in the database."
Datagram,رزمة بيانات,"A packet (encapsulated with a frame containing information), that is transmitted in a packet-switching network from source to destination"
Data-oriented systems development,تطوير النظم استناداً للبيانات,Focuses on providing ad hoc reporting for users by developing a suitable accessible database of information and to provide useable data rather than a function
Decentralization,لامركزية,The process of distributing computer processing to different locations within an enterprise
Decision support systems (DSS),نظم دعم القرار,"An interactive system that provides the user with easy access to decision models and data, to support semi structured decision-making tasks"
Decryption,فك التشفير,A technique used to recover the original plaintext from the ciphertext so that it is intelligible to the reader. The decryption is a reverse process of the encryption.
Decryption key,مفتاح فك التشفير,A digital piece of information used to recover plaintext from the corresponding ciphertext by decryption
Default,القيمة الابتدائية/التلقائي,"A computer software setting or preference that states what will automatically happen in the event that the user has not stated another preference. For example, a computer may have a default setting to launch or start Netscape whenever a GIF file is opened; however, if using Adobe Photoshop is the preference for viewing a GIF file, the default setting can be changed to Photoshop. In the case of default accounts, these are accounts that are provided by the operating system vendor (e.g., root in UNIX)."
Default deny policy,سياسة سماحيات اساسها الحجب,A policy whereby access is denied unless it is specifically allowed; the inverse of default allow
Default password,كلمة السر الابتدائية,The password used to gain access when a system is first installed on a computer or network device
Defense in depth,سياسات دفاعية متعددة المراحل,The practice of layering defenses to provide added protection. Defense in depth increases security by raising the effort needed in an attack. This strategy places multiple barriers between an attacker and an enterprise's computing and information resources.
Degauss,يعادل مغناطيسياً,The application of variable levels of alternating current for the purpose of demagnetizing magnetic recording media
Demilitarized zone (DMZ),منظقة منزوعة السلاح (محايدة),A screened (firewalled) network segment that acts as a buffer zone between a trusted and untrusted network
Demodulation,تحويل البث التناظري إلى رقمي,The process of converting an analog telecommunications signal into a digital computer signal
Demographic,ديموغرافي (يتعلق بالسكان),A fact determined by measuring and analyzing data about a population; it relies heavily on survey research and census data.
Denial-of-service attack (DoS),هجوم شل/ منع الخدمة,An assault on a service from a single source that floods it with so many requests that it becomes overwhelmed and is either stopped completely or operates at a significantly reduced rate
Depreciation,الاستهلاك,The process of cost allocation that assigns the original cost of equipment to the periods benefited
Detailed IS controls,ضوابط تقنية المعلومات,"Controls over the acquisition, implementation, delivery and support of IS systems and services made up of application controls plus those general controls not included in pervasive controls"
Detection risk,خطر الاكتشاف,"The risk that the IS audit or assurance professional's substantive procedures will not detect an error that could be material, individually or in combination with other errors"
Detective application controls,ضابط تطبيقي استكشافي,Designed to detect errors that may have occurred based on predefined logic or business rules. Usually executed after an action has taken place and often cover a group of transactions
Detective control,ضابط استكشافي,"Exists to detect and report when errors, omissions and unauthorized uses or entries occur"
Device,جهاز,"A generic term for a computer subsystem, such as a printer, serial port or disk drive. A device frequently requires its own controlling software, called a device driver."
Dial-back,إعادة الاتصال بالمرسل (ضابط امني),Used as a control over dial-up telecommunications lines. The telecommunications link established through dial-up into the computer from a remote location is interrupted so the computer can dial back to the caller. The link is permitted only if the caller is calling from a valid phone number or telecommunications channel.
Dial-in access control,ضوابط المتصلين بالخادم عبر الهاتف,Prevents unauthorized access from remote users who attempt to access a secured environment. Ranges from a dial-back control to remote user authentication
Digital certificate,شهادة رقمية,"A piece of information, a digitized form of signature, that provides sender authenticity, message integrity and non repudiation. A digital signature is generated using the sender's private key or applying a one-way hash function."
Digital certification,شهادة رقمية,A process to authenticate (or certify) a party's digital signature; carried out by trusted third parties
Digital code signing,توقيع المستند رقميا,The process of digitally signing computer code to ensure its integrity
Digital forensics,التحقيقات الرقمية,"The process of identifying, preserving, analyzing and presenting digital evidence in a manner that is legally acceptable in any legal proceedings"
Digital signature,التوقيع الرقمي,"A piece of information, a digitized form of signature, that provides sender authenticity, message integrity and non repudiation. A digital signature is generated using the sender's private key or applying a one-way hash function."
Direct reporting engagement,تقديم التقرير مباشرة,"An engagement in which management does not make a written assertion about the effectiveness of their control procedures and an IS auditor provides an opinion about subject matter directly, such as the effectiveness of the control procedures"
Disaster,كارثة,"1. A sudden, unplanned calamitous event causing great damage or loss. Any event that creates an inability on an enterprise's part to provide critical business functions for some predetermined period of time. Similar terms are business interruption, outage and catastrophe. 2. The period when enterprise management decides to divert from normal production responses and exercises its disaster recovery plan (DRP). It typically signifies the beginning of a move from a primary location to an alternate location."
Disaster declaration,اعلان الكارثة,The communication to appropriate internal and external parties that the disaster recovery plan (DRP) is being put into operation
Disaster notification fee,رسوم بدء استخدام مركز الحاسب الاحتياطي,The fee that the recovery site vendor charges when the customer notifies them that a disaster has occurred and the recovery site is required
Disaster recovery,التعافي من الكارثة,Activities and programs designed to return the enterprise to an acceptable condition
Disaster recovery plan (DRP),خطة مجابهة الكارثة,"A set of human, physical, technical and procedural resources to recover, within a defined time and cost, an activity interrupted by an emergency or disaster"
Disaster recovery plan (DRP) desk checking,خطة مجابهة الكارثة,Typically a read-through of a disaster recovery plan (DRP) without any real actions taking place
Disaster recovery plan (DRP) walk-through,التطبيق النظري لخطة مجابهة الكارثة,Generally a robust test of the recovery plan requiring that some recovery activities take place and are tested. A disaster scenario is often given and the recovery teams talk through the steps that they would need to take to recover. As many aspects of the plan as possible should be tested
Disaster tolerance,طاقة تحمل الكارثة,The time gap during which the business can accept the non availability of IT facilities
Disclosure controls and procedures,ضوابط الافصاح واجراءاته,The processes in place designed to help ensure that all material information is disclosed by an enterprise in the reports that it files or submits to the U.S. Security and Exchange Commission (SEC)
Discount rate,نسبة الخصم,"An interest rate used to calculate a present value which might or might not include the time value of money, tax effects, risk or other factors"
Discovery sampling,البحث عن عينة بالاستكشاف,A form of attribute sampling that is used to determine a specified probability of finding at least one example of an occurrence (attribute) in a population
Discretionary access control (DAC),سماحيات الدخول المقننة,A means of restricting access to objects based on the identity of subjects and/or groups to which they belong
Disk mirroring,نسخة مقابلة للقرص الصلب,The practice of duplicating data in separate volumes on two hard disks to make storage more fault tolerant. Mirroring provides data protection in the case of disk failure because data are constantly updated to both disks.
Diskless workstations,وحدات عديمة الاقراص,"A workstation or PC on a network that does not have its own disk, but instead stores files on a network file server"
Distributed data processing network,شبكة معالجة بيانات موزعة,A system of computers connected together by a communication network
Distributed denial-of-service attack (DDoS),هجوم منع خدمة موزع,A denial-of-service (DoS) assault from multiple sources
Diverse routing,خط احتياطي من نوع مختلف,The method of routing traffic through split cable facilities or duplicate cable facilities
Domain,نطاق,"In COBIT, the grouping of control objectives into four logical stages in the life cycle of investments involving IT (Plan and Organise, Acquire and Implement, Deliver and Support, and Monitor and Evaluate)"
Domain name system (DNS),نظام اسماء النطاقات,A hierarchical database that is distributed across the Internet that allows names to be resolved into IP addresses (and vice versa) to locate services such as web and e-mail servers
Domain name system (DNS) exfiltration,نظام أسماء النطاقات,"Tunneling over DNS to gain network access. Lower-level attack vector for simple to complex data transmission, slow but difficult to detect."
Domain name system (DNS) poisoning,تخريب نظام اسماء النطاقات,"Corrupts the table of an Internet server's DNS, replacing an Internet address with the address of another vagrant or scoundrel address"
Double-loop step,نظام رقابي بنقاط مراقبة متعددة,Integrates the management of tactics (financial budgets and monthly reviews) and the management of strategy
Downloading,تنزيل (الملف) عكس تحميل,The act of transferring computerized information from one computer to another computer
Downtime report,تقرير فترة انعدام الخدمة,A report that identifies the elapsed time when a computer is not operating correctly because of machine failure
Driver (value and risk),محفز,A driver includes an event or other activity that results in the identification of an assurance/audit need
Dry-pipe fire extinguisher system,نظام الاطفاء جاف الانبوب,"Refers to a sprinkler system that does not have water in the pipes during idle usage, unlike a fully charged fire extinguisher system that has water in the pipes at all times"
Dual control,الضابط الثنائي,A procedure that uses two or more entities (usually persons) operating in concert to protect a system resource so that no single entity acting alone can access that resource
Due care,الحرص الكافي,The level of care expected from a reasonable person of similar competency under similar conditions
Due diligence,الاجتهاد الكافي,"The performance of those actions that are generally regarded as prudent, responsible and necessary to conduct a thorough and objective investigation, review and/or analysis"
Due professional care,الحرص المهني الكافي,"Diligence that a person, who possesses a special skill, would exercise under a given set of circumstances"
Dumb terminal,وحدة طرفية للعرض (بدون معالج),A display terminal without processing capability
Duplex routing,التوجيه المزدوج,The method or communication mode of routing data over the communication network
Dynamic analysis,تحليلات آنية / حية,Analysis that is performed in a real-time or continuous form
Dynamic Host Configuration Protocol (DHCP),برتوكول العناوين الديناميكية للمضيف,"A protocol used by networked computers (clients) to obtain IP addresses and other parameters such as the default gateway, subnet mask and IP addresses of domain name system (DNS) servers from a DHCP server"
Dynamic partitioning,التقسيم المرن (خاص باستخدام ذاكرة الحاسب),The variable allocation of central processing unit (CPU) processing and memory to multiple applications and data on a server
Dynamic ports,منافذ متحركة,Dynamic and/or private ports--49152 through 65535: Not listed by IANA because of their dynamic nature.
Eavesdropping,التنصت,Listening a private communication without permission
Echo checks,فحص الصدى (التحقق من الرسالة بارجاعها للمرسل),Detects line errors by retransmitting data back to the sending device for comparison with the original transmission
E-commerce,تجارة الكترونية,"The processes by which enterprises conduct business electronically with their customers, suppliers and other external business partners, using the Internet as an enabling technology"
Economic value add (EVA),نفقات ذات قيمة اقتصادية مضافة (مقابل فرصها البديلة),"Technique developed by G. Bennett Stewart III and registered by the consulting firm of Stern, Stewart, in which the performance of the corporate capital base (including depreciated investments such as training, research and development) as well as more traditional capital investments such as physical property and equipment are measured against what shareholders could earn elsewhere"
Edit control,ضوابط التحرير,Detects errors in the input portion of information that is sent to the computer for processing. May be manual or automated and allow the user to edit data errors before processing
Editing,تحرير,Ensures that data conform to predetermined criteria and enable early identification of potential errors
Egress,خروج/ توقف,Network communications going out
Electronic data interchange (EDI),التبادل الرقمي للبيانات,"The electronic transmission of transactions (information) between two enterprises. EDI promotes a more efficient paperless environment. EDI transmissions can replace the use of standard documents, including invoices or purchase orders."
Electronic document,وثيقة الكترونية,"An administrative document (a document with legal validity, such as a contract) in any graphical, photographic, electromagnetic (tape) or other electronic representation of the content"
Electronic funds transfer (EFT),الحوالات المالية الرقمية,The exchange of money via telecommunications. EFT refers to any financial transaction that originates at a terminal and transfers a sum of money from one account to another
Electronic signature,التوقيع الرقمي,Any technique designed to provide the electronic equivalent of a handwritten signature to demonstrate the origin and integrity of specific data. Digital signatures are an example of electronic signatures.
Electronic vaulting,الوثبة الرقمية (منهجية لاستعادة البيانات),A data recovery strategy that allows enterprises to recover data within hours after a disaster
Elliptical curve cryptography (ECC),التشفير بالمنحنى الاهليجي / التشفير الاهليجي,"An algorithm that combines plane geometry with algebra to achieve stronger authentication with smaller keys compared to traditional methods, such as RSA, which primarily use algebraic factoring."
Embedded audit module (EAM),برنامج تدقيق مدمج,Integral part of an application system that is designed to identify and report specific transactions or other information based on pre-determined criteria. Identification of reportable items occurs as part of real-time processing. Reporting may be real-time online or may use store and forward methods. Also known as integrated test facility or continuous auditing module.
Encapsulation (objects),التغليف,The technique used by layered protocols in which a lower layer protocol accepts a message from a higher-layer protocol and places it in the data portion of a frame in the lower layer
Encapsulation security payload (ESP),حمولة كبسولة الأمن,"Protocol, which is designed to provide a mix of security services in IPv4 and IPv6. ESP can be used to provide confidentiality, data origin authentication, connectionless integrity, an anti-replay service (a form of partial sequence integrity), and (limited) traffic flow confidentiality. (RFC 4303)"
Encryption,التشفير,"The process of taking an unencrypted message (plaintext), applying a mathematical function to it (encryption algorithm with a key) and producing an encrypted message (ciphertext)"
Encryption algorithm,خوارزمية التشفير,A mathematically based function or calculation that encrypts/decrypts data
Encryption key,مفتاح التشفير,"A piece of information, in a digitized form, used by an encryption algorithm to convert the plaintext to the ciphertext"
End-user computing,حوسبة المستخدمين,The ability of end users to design and implement their own information system utilizing computer software products
Engagement letter,خطاب التعميد,"Formal document which defines an IS auditor's responsibility, authority and accountability for a specific assignment"
Enterprise,منشأة / مؤسسة,"A group of individuals working together for a common purpose, typically within the context of an organizational form such as a corporation, public agency, charity or trust"
Enterprise architecture (EA),المعمارية المؤسسية,"Description of the fundamental underlying design of the components of the business system, or of one element of the business system (e.g., technology), the relationships among them, and the manner in which they support the enterprise's objectives"
Enterprise architecture (EA) for IT,المعمارية المؤسسية لتقنية المعلومات,"Description of the fundamental underlying design of the IT components of the business, the relationships among them, and the manner in which they support the enterprise's objectives"
Enterprise goal,غاية مؤسسية,
Enterprise governance,الحوكمة المؤسسية,"A set of responsibilities and practices exercised by the board and executive management with the goal of providing strategic direction, ensuring that objectives are achieved, ascertaining that risk is managed appropriately and verifying that the enterprise's resources are used responsibly"
Enterprise risk management (ERM),إدارة المخاطر المؤسسية,"The discipline by which an enterprise in any industry assesses, controls, exploits, finances and monitors risk from all sources for the purpose of increasing the enterprise's short- and long-term value to its stakeholders"
Eradication,اجتثاث /استئصال,"When containment measures have been deployed after an incident occurs, the root cause of the incident must be identified and removed from the network."
ERP (enterprise resource planning) system,نظم إدارة الموارد المؤسسية,"A packaged business software system that allows an enterprise to automate and integrate the majority of its business processes, share common data and practices across the entire enterprise, and produce and access information in a real-time environment"
Error,خطأ,A deviation from accuracy or correctness
Escrow agent,الوكيل الضامن لمزود الخدمة,"A person, agency or enterprise that is authorized to act on behalf of another to create a legal relationship with a third party in regard to an escrow agreement; the custodian of an asset according to an escrow agreement"
Escrow agreement,اتفاقية ضمان,"A legal arrangement whereby an asset (often money, but sometimes other property such as art, a deed of title, web site, software source code or a cryptographic key) is delivered to a third party (called an escrow agent) to be held in trust or otherwise pending a contingency or the fulfillment of a condition or conditions in a contract"
Ethernet,برتوكول الايثرنت الشبكي,A popular network protocol and cabling scheme that uses a bus topology and carrier sense multiple access/collision detection (CSMA/CD) to prevent network failures or collisions when two devices try to access the network at the same time
Event,حدث,Something that happens at a specific place and/or time
Event type,نوع الحدث,"For the purpose of IT risk management, one of three possible sorts of events: threat event, loss event and vulnerability event"
Evidence,دليل,1. Information that proves or disproves a stated issue. 2. Information that an auditor gathers in the course of performing an IS audit; relevant if it pertains to the audit objectives and has a logical relationship to the findings and conclusions it is used to support
Exception reports,تقرير الحالات غير العادية,An exception report is generated by a program that identifies transactions or data that appear to be incorrect.
Exclusive-OR (XOR),أو الحصرية (أحدهما وليس كلاهما),The exclusive-OR operator returns a value of TRUE only if just one of its operands is TRUE.
Executable code,برامج تنفيذية (بلغة الالة),The machine language code that is generally referred to as the object or load module
Expert system,نظم خبيرة,The most prevalent type of computer system that arises from the research of artificial intelligence
Exploit,استغلال,Full use of a vulnerability for the benefit of an attacker
Extended Binary-coded for Decimal Interchange Code (EBCDIC),نظام ترميز الابسيدك EBCDIC,An 8-bit code representing 256 characters; used in most large computer systems
Extended enterprise,المؤسسة الممتدة,Describes an enterprise that extends outside its traditional boundaries. Such enterprise concentrate on the processes they do best and rely on someone outside the entity to perform the remaining processes.
eXtensible Access Control Markup Language (XACML),لغة برمجة XACML,A declarative online software application user access control policy language implemented in Extensible Markup Language (XML)
eXtensible Markup Language (XML),لغة برمجة XML,"Promulgated through the World Wide Web Consortium, XML is a web-based application development technique that allows designers to create their own customized tags, thus, enabling the definition, transmission, validation and interpretation of data between applications and enterprises.Exposure"
External storage,ذاكرة خارجية,The location that contains the backup copies to be used in case recovery or restoration is required in the event of a disaster
Extranet,شبكة ممتدة,"A private network that resides on the Internet and allows a company to securely share business information with customers, suppliers or other businesses as well as to execute electronic transactions"
Fail-over,النقل للمنظومة الاحتياطية,The transfer of service from an incapacitated primary component to its backup component
Fail-safe,آمن ضد الاختراق,Describes the design properties of a computer system that allow it to resist active attempts to attack or bypass it
Fallback procedures,إجراءات التراجع (لاستعادة الوضع السابق),"A plan of action or set of procedures to be performed if a system implementation, upgrade or modification does not work as intended"
Fall-through logic,فلسفة برمجية لتنفيذ حالة من مجموعة اختيارات,An optimized code based on a branch prediction that predicts which way a program will branch when an application is presented
False authorization,إعطاء الإذن بالخطأً,"Also called false acceptance, occurs when an unauthorized person is identified as an authorized person by the biometric system"
False enrollment,دخول خاطئ (خاص بنظم الأمن الحيوية),Occurs when an unauthorized person manages to enroll into the biometric system
False negative,خلل ايجابي (خاص بنظم الأمن),"In intrusion detection, an error that occurs when an attack is misdiagnosed as a normal activity"
False positive,خلل سلبي (خاص بنظم الأمن),"A result that has been mistakenly identified as a problem when, in reality, the situation is normal"
Fault tolerance,خاصية الاستجابة التلقائية للأعطال,A system's level of resilience to seamlessly react to hardware and/or software failure
Feasibility study,دراسة الجدوى,A phase of a system development life cycle (SDLC) methodology that researches the feasibility and adequacy of resources for the development or acquisition of a system solution to a user need
Fiber-optic cable,خطوط الالياف البصرية,Glass fibers that transmit binary signals over a telecommunications network
Field,حقل (خاص بقاعدة البيانات),An individual data element in a computer record
File,ملف,A named collection of related records
File allocation table (FAT),جدول توصيف الملف,A table used by the operating system to keep track of where every file is located on the disk
File layout,توصيف الملف,Specifies the length of the file record and the sequence and size of its fields
File layout,توصيف الملف,Specifies the length of the file record and the sequence and size of its fields
File server,خادم الملفات,A high-capacity disk storage device or a computer that stores data centrally for network users and manages access to those data
File Transfer Protocol (FTP),برتوكول تبادل الملفات,"A protocol used to transfer files over a Transmission Control Protocol/Internet Protocol (TCP/IP) network (Internet, UNIX, etc.)"
Filtering router,موجه شبكات منقي,A router that is configured to control network access by comparing the attributes of the incoming or outgoing packets to a set of rules
FIN (Final),النهاية,A flag set in a packet to indicate that this packet is the final data packet of the transmission
Financial audit,مراجعة مالية,An audit designed to determine the accuracy of financial records and information
Finger,فنجر (نظام تعريف المستخدمين عن بعد),A protocol and program that allows the remote identification of users logged into a system
Firewall,جدار الحماية,"A system or combination of systems that enforces a boundary between two or more networks, typically forming a barrier between a secure and an open environment such as the Internet"
Firmware,شريحة منطقية مبرمجة,Memory chips with embedded program code that hold their content when power is turned off
Fiscal year,السنة المالية,Any yearly accounting period without regard to its relationship to a calendar year
Foreign key,مفتاح مرجعي,A value that represents a reference to a tuple (a row in a table) containing the matching candidate key value
Forensic examination,فحص جنائي,"The process of collecting, assessing, classifying and documenting digital evidence to assist in the identification of an offender and the method of compromise"
Format checking,فحص التشكيل (خاص بالتبادل الرقمي),"The application of an edit, using a predefined field definition to a submitted information stream; a test to ensure that data conform to a predefined format"
Fourth-generation language (4GL),لغة برمجة من الجيل الرابع,"High-level, user-friendly, nonprocedural computer language used to program and/or read and process computer files"
Frame relay,برتوكول للتبادل الشبكي بعيد المدى,A packet-switched wide-area-network (WAN) technology that provides faster performance than older packet-switched WAN technologies
Framework,إطار,
Freeware,برمجيات مجانية,Software available free of charge
Frequency,تكرار,A measure of the rate by which events occur over a certain period of time
Full economic life cycle,دورة اقتصادية تامة,"The period of time during which material business benefits are expected to arise from, and/or during which material expenditures (including investments, running and retirement costs) are expected to be incurred by, an investment program"
Function point analysis,تحليل النقاط الوظيفية (تستخدم لتقييم مشاريع تطوير النظم),"A technique used to determine the size of a development task, based on the number of function points"
Gateway,بوابة,"A device (router, firewall) on a network that serves as an entrance to another network"
General computer control,ضابط حاسوبي عام,"A Control, other than an application control, that relates to the environment within which computer-based application systems are developed, maintained and operated, and that is therefore applicable to all applications. The objectives of general controls are to ensure the proper development and implementation of applications and the integrity of program and data files and of computer operations. Like application controls, general controls may be either manual or programmed. Examples of general controls include the development and implementation of an IS strategy and an IS security policy, the organization of IS staff to separate conflicting duties and planning for disaster prevention and recovery."
Generalized audit software (GAS),نظام تدقيق (مراجعة) عام الاستخدامات,"Multipurpose audit software that can be used for general processes, such as record selection, matching, recalculation and reporting"
Generic process control,ضوابط إجراء عامة,A control that applies to all processes of the enterprise
Geographic disk mirroring,نسخة احتياطية بعيدة جغرافيا (تنقل عبر خط اتصال عالي الأداء),A data recovery strategy that takes a set of physically disparate disks and synchronously mirrors them over high performance communication lines. Any write to a disk on one side will result in a write on the other side. The local write will not return until the acknowledgment of the remote write is successful.
Geographical information system (GIS),نظم المعلومات الجغرافية,"A tool used to integrate, convert, handle, analyze and produce information regarding the surface of the earth"
Good practice,ممارسات مثلى,A proven activity or process that has been successfully used by multiple enterprises and has been shown to produce reliable results
Governance, Risk Management and Compliance (GRC),"الحوكمة، وإدارة المخاطر، والالتزام"
Governance,حوكمة,"Ensures that stakeholder needs, conditions and options are evaluated to determine balanced, agreed-on enterprise objectives to be achieved; setting direction through prioritization and decision making; and monitoring performance and compliance against agreed-on direction and objectives"
Governance enabler,عنصر مُكن للحوكمة,Something (tangible or intangible) that assists in the realization of effective governance
Governance framework,إطار الحوكمة,"A framework is a basic conceptual structure used to solve or address complex issues. An enabler of governance. A set of concepts, assumptions and practices that define how something can be approached or understood, the relationships amongst the entities involved, the roles of those involved, and the boundaries (what is and is not included in the governance system)."
Governance of enterprise IT,حوكمة تقنية المعلومات المؤسسية,"A governance view that ensures that information and related technology support and enable the enterprise strategy and the achievement of enterprise objectives; this also includes the functional governance of IT, i.e., ensuring that IT capabilities are provided efficiently and effectively."
Governance/ management practice,ممارسات حوكمة / إدارة,"For each COBIT process, the governance and management practices provide a complete set of high-level requirements for effective and practical governance and management of enterprise IT. They are statements of actions from governance bodies and management."
Guideline,دليل ارشادي,A description of a particular way of accomplishing something that is less prescriptive than a procedure
Hacker,مخترق/قرصان,An individual who attempts to gain unauthorized access to a computer system
Handprint scanner,ماسح راحة اليد (خاص بنظم الامن البيولوجي),A biometric device that is used to authenticate a user through palm scans
Harden,يدعم / يقوي,To configure a computer or other network device to resist attacks
Hardware,عتاد,The physical components of a computer system
Hash function,خوارزمية لحساب ملخص النص المميز,An algorithm that maps or translates one set of bits into another (generally smaller) so that a message yields the same result every time the algorithm is executed using the same message as input
Hash total,قيمة ملخص النص المميز,The total of any numeric data field in a document or computer file. This total is checked against a control total of the same field to facilitate accuracy of processing.
Hashing,حساب القيمة المميزة,Using a hash function (algorithm) to create hash valued or checksums that validate message integrity
Help desk,مكتب تقديم الخدمة,"A service offered via telephone/Internet by an enterprise to its clients or employees that provides information, assistance and troubleshooting advice regarding software, hardware or networks."
Heuristic filter,مرشح مساعد (لتصفية البريد الالكتروني غير المرغوب),A method often employed by antispam software to filter spam using criteria established in a centralized rule database
Hexadecimal,ترقيم سادس عشري,"A numbering system that uses a base of 16 and uses 16 digits: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, E and F. Programmers use hexadecimal numbers as a convenient way of representing binary numbers."
Hierarchical database,قاعدة بيانات هرمية,A database structured in a tree/root or parent/child relationship
Hijacking,اختطاف,An exploitation of a valid network session for unauthorized purposes
Honeypot,وعاء العسل (مصيدة أمنية),"A specially configured server, also known as a decoy server, designed to attract and monitor intruders in a manner such that their actions do not affect production systems"
Horizontal defense-in depth,الدفاعات الافقية العميقة,Controls are placed in various places in the path to access an asset (this is functionally equivalent to concentric ring model above).
Hot site,موقع احتياطي ساخن,A fully operational offsite data processing facility equipped with both hardware and system software to be used in the event of a disaster
Hub,نقطة اتصال محورية,"A common connection point for devices in a network, hubs are used to connect segments of a local area network (LAN)"
Human firewall,جدار ناري بشري,A person prepared to act as a network layer of defense through education and awareness
Hurdle rate,نسبة العائد على الاستثمار,"Also known as required rate of return, above which an investment makes sense and below which it does not"
Hybrid application controls,ضوابط تطبيقية هجينة (يدوية وآلية),"Consist of a combination of manual and automated activities, all of which must operate for the control to be effective"
Hyperlink,رابط تشعبي,"An electronic pathway that may be displayed in the form of highlighted text, graphics or a button that connects one web page with another web page address"
Hypertext,نص تشعبي,"A language that enables electronic documents that present information to be connected by links instead of being presented sequentially, as is the case with normal text"
Hypertext Markup Language (HTML),لغة توصيف النص التشعبي,"A language designed for the creation of web pages with hypertext and other information to be displayed in a web browser; used to structure information--denoting certain text sure as headings, paragraphs, lists--and can be used to describe, to some degree, the appearance and semantics of a document"
Hypertext Transfer Protocol (HTTP),برتوكول تبادل النصوص التشعبية,"A communication protocol used to connect to servers on the World Wide Web. Its primary function is to establish a connection with a web server and transmit hypertext markup language (HTML), extensible markup language (XML) or other pages to client browsers"
Hypertext Transfer Protocol Secure (HTTPS),لغة توصيف النص التشعبي الآمنة,"A protocol for accessing a secure web server, whereby all data transferred are encrypted."
Identity access management (IAM),إدارة هويات الدخول,"Encapsulates people, processes and products to identify and manage the data used in an information system to authenticate users and grant or deny access rights to data and system resources. The goal of IAM is to provide appropriate access to enterprise resources."
